LP,Plot,TypPp,NrPp,Rok,Okres,Actea_spicata,Poa_nemoralis,Chrysosplenium_alternifolium,Galeopsis_pubescens,Mycelis_muralis,Scrophularia_nodosa,Sanicula_europaea,Pteridium_aquilinum,Dryopteris_filix_mas,Lathyrus_vernus,Dryopteris_expansa,Lamium_maculatum,Anemone_nemorosa,Dryopteris_dilatata,Circaea_lutetiana,Veronica_montana,Dryopteris_carthusiana,Pulmonaria_obscura,Aegopodium_podagraria,Rubus_idaeus,Stachys_sylvatica,Gymnocarpium_dryopteris,Viola_reichenbachiana,Urtica_dioica,Geranium_robertianum,Maianthemum_bifolium,Rubus_hirtus,Athyrium_filix_femina,Galium_odoratum,Impatiens_noli_tangere,Circaea_alpina,Galeobdolon_luteum,Oxalis_acetosella,RowSum
219,5,I,20,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,45,35,81
560,5,I,51,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,12,0,13,1,1,20,12,81
582,5A,I,53,21,L,0,0,0,0,0,0,6,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,25,15,15,81
131,5,W,12,21,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,6,45,23,84
296,5,W,27,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20,0,0,25,35,84
329,5A,W,30,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,45,0,4,0,5,15,3,85
472,5A,I,43,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,12,1,30,6,3,30,85
593,5,I,54,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,2,0,0,8,0,25,15,18,87
307,5,I,28,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,40,45,89
417,5A,W,38,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,1,1,0,0,0,20,8,4,2,15,25,89
604,5,W,55,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,0,2,1,25,30,18,89
164,5,W,15,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,45,0,2,2,15,15,90
604,5A,W,55,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,11,3,5,35,30,90
32,5A,W,3,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,1,25,0,5,7,15,30,91
197,5A,W,18,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,25,25,20,5,91
109,5A,W,10,21,L,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,30,15,25,5,92
186,5A,I,17,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,25,12,35,15,92
43,5A,W,4,21,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,15,5,18,15,15,17,3,93
230,5A,I,21,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,1,0,0,0,5,0,7,15,25,93
351,5A,I,32,21,L,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,4,0,0,1,0,10,5,0,0,8,1,4,20,20,93
505,5,W,46,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,10,30,45,93
670,5,I,61,21,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,8,0,0,65,8,93
10,5A,W,1,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,10,1,1,65,5,94
626,5A,I,57,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,8,5,50,10,94
670,5A,I,61,21,L,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,10,0,3,0,0,1,0,2,30,10,22,1,94
769,5A,I,70,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,35,0,0,5,0,0,25,2,4,1,95
109,5,W,10,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,13,0,15,40,25,96
186,5,I,17,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,14,1,2,50,20,96
263,5A,I,24,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25,0,0,0,5,0,4,20,40,96
725,5A,I,66,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,25,0,0,0,0,0,20,10,18,3,96
142,5A,W,13,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,1,1,20,20,4,25,5,5,12,98
274,5A,I,25,21,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,4,0,25,18,45,98
362,5A,I,33,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,3,0,20,30,5,20,10,98
681,5A,I,62,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,5,0,1,55,1,20,1,98
120,5A,I,11,21,L,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,5,45,1,17,5,11,2,99
395,5A,W,36,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,25,0,5,1,55,4,1,99
406,5A,I,37,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1,9,0,1,0,30,20,8,99
494,5A,I,45,21,L,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,0,0,0,0,15,0,0,0,20,0,20,25,5,99
505,5A,W,46,21,L,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8,1,0,0,1,0,25,40,20,99
516,5,I,47,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,13,55,17,99
21,5A,I,2,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,5,0,25,20,43,100
131,5A,W,12,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,40,21,10,18,100
153,5,I,14,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,60,13,10,12,100
252,5A,W,23,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,5,0,6,0,0,0,13,0,20,30,7,100
307,5A,I,28,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,2,0,0,20,1,30,10,22,8,100
340,5A,W,31,21,L,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,25,0,0,0,0,1,15,5,0,8,0,3,8,4,12,10,100
373,5A,W,34,21,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,38,8,3,15,4,18,10,100
